position,found_at_top,double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,exec_time
1,13,False,15,10,16,79.80338377400001,17159.767794,130.55233758,61.26283377000001,8433.9831332,91.303007812,110760.08481999999
2,14,False,5,10,16,106.71542754800001,22419.224477999996,148.06836194,92.61598854799999,14895.5796616,120.43320226200001,50575.10508
3,18,True,10,9,16,90.420646742,19536.976454,138.74714006,92.740524378,20652.2412492,134.00540341599998,120976.29331999998
4,27,False,25,10,16,95.54539730399999,20934.876768,143.43451326,98.078939618,18116.295165199997,130.39765723600001,163279.89548
5,28,False,25,9,16,91.976034836,20638.47787,143.04411752000001,90.70149569600001,16780.137838000002,124.19433617600001,146230.75894
6,31,False,15,9,16,94.50540329200001,21248.728133999997,145.13173932,94.411965792,17846.438152,133.09055401999998,98483.911378
7,35,False,10,10,32,123.945994344,34102.946732,183.11358156,109.897900506,22995.016062,148.05870228,42167.889308
8,41,False,10,9,16,109.59999438,26172.591217999998,160.97742152,112.93194723399999,23342.115014000003,149.58218779999999,71787.781984
9,42,False,10,7,16,111.55279279199999,29663.421404,171.4116386,110.571979084,23364.420210000004,149.4346896,56784.781836
9,42,False,10,9,32,129.117824844,38184.364263999996,193.10078996,110.373568088,24077.14822,153.72105716000002,38610.72988
